"cuenta","propina","sex","fumador","día","hora","tamaño"
16.99,1.01,"Mujer","No","Domingo","Comida",2
10.34,1.66,"Hombre","No","Domingo","Comida",3
21.01,3.5,"Hombre","No","Domingo","Comida",3
23.68,3.31,"Hombre","No","Domingo","Comida",2
24.59,3.61,"Mujer","No","Domingo","Comida",4
25.29,4.71,"Hombre","No","Domingo","Comida",4
8.77,2,"Hombre","No","Domingo","Comida",2
26.88,3.12,"Hombre","No","Domingo","Comida",4
15.04,1.96,"Hombre","No","Domingo","Comida",2
14.78,3.23,"Hombre","No","Domingo","Comida",2
10.27,1.71,"Hombre","No","Domingo","Comida",2
35.26,5,"Mujer","No","Domingo","Comida",4
15.42,1.57,"Hombre","No","Domingo","Comida",2
18.43,3,"Hombre","No","Domingo","Comida",4
14.83,3.02,"Mujer","No","Domingo","Comida",2
21.58,3.92,"Hombre","No","Domingo","Comida",2
10.33,1.67,"Mujer","No","Domingo","Comida",3
16.29,3.71,"Hombre","No","Domingo","Comida",3
16.97,3.5,"Mujer","No","Domingo","Comida",3
20.65,3.35,"Hombre","No","Sábado","Comida",3
17.92,4.08,"Hombre","No","Sábado","Comida",2
20.29,2.75,"Mujer","No","Sábado","Comida",2
15.77,2.23,"Mujer","No","Sábado","Comida",2
39.42,7.58,"Hombre","No","Sábado","Comida",4
19.82,3.18,"Hombre","No","Sábado","Comida",2
17.81,2.34,"Hombre","No","Sábado","Comida",4
13.37,2,"Hombre","No","Sábado","Comida",2
12.69,2,"Hombre","No","Sábado","Comida",2
21.7,4.3,"Hombre","No","Sábado","Comida",2
19.65,3,"Mujer","No","Sábado","Comida",2
9.55,1.45,"Hombre","No","Sábado","Comida",2
18.35,2.5,"Hombre","No","Sábado","Comida",4
15.06,3,"Mujer","No","Sábado","Comida",2
20.69,2.45,"Mujer","No","Sábado","Comida",4
17.78,3.27,"Hombre","No","Sábado","Comida",2
24.06,3.6,"Hombre","No","Sábado","Comida",3
16.31,2,"Hombre","No","Sábado","Comida",3
16.93,3.07,"Mujer","No","Sábado","Comida",3
18.69,2.31,"Hombre","No","Sábado","Comida",3
31.27,5,"Hombre","No","Sábado","Comida",3
16.04,2.24,"Hombre","No","Sábado","Comida",3
17.46,2.54,"Hombre","No","Domingo","Comida",2
13.94,3.06,"Hombre","No","Domingo","Comida",2
9.68,1.32,"Hombre","No","Domingo","Comida",2
30.4,5.6,"Hombre","No","Domingo","Comida",4
18.29,3,"Hombre","No","Domingo","Comida",2
22.23,5,"Hombre","No","Domingo","Comida",2
32.4,6,"Hombre","No","Domingo","Comida",4
28.55,2.05,"Hombre","No","Domingo","Comida",3
18.04,3,"Hombre","No","Domingo","Comida",2
12.54,2.5,"Hombre","No","Domingo","Comida",2
10.29,2.6,"Mujer","No","Domingo","Comida",2
34.81,5.2,"Mujer","No","Domingo","Comida",4
9.94,1.56,"Hombre","No","Domingo","Comida",2
25.56,4.34,"Hombre","No","Domingo","Comida",4
19.49,3.51,"Hombre","No","Domingo","Comida",2
38.01,3,"Hombre","Yes","Sábado","Comida",4
26.41,1.5,"Mujer","No","Sábado","Comida",2
11.24,1.76,"Hombre","Yes","Sábado","Comida",2
48.27,6.73,"Hombre","No","Sábado","Comida",4
20.29,3.21,"Hombre","Yes","Sábado","Comida",2
13.81,2,"Hombre","Yes","Sábado","Comida",2
11.02,1.98,"Hombre","Yes","Sábado","Comida",2
18.29,3.76,"Hombre","Yes","Sábado","Comida",4
17.59,2.64,"Hombre","No","Sábado","Comida",3
20.08,3.15,"Hombre","No","Sábado","Comida",3
16.45,2.47,"Mujer","No","Sábado","Comida",2
3.07,1,"Mujer","Yes","Sábado","Comida",1
20.23,2.01,"Hombre","No","Sábado","Comida",2
15.01,2.09,"Hombre","Yes","Sábado","Comida",2
12.02,1.97,"Hombre","No","Sábado","Comida",2
17.07,3,"Mujer","No","Sábado","Comida",3
26.86,3.14,"Mujer","Yes","Sábado","Comida",2
25.28,5,"Mujer","Yes","Sábado","Comida",2
14.73,2.2,"Mujer","No","Sábado","Comida",2
10.51,1.25,"Hombre","No","Sábado","Comida",2
17.92,3.08,"Hombre","Yes","Sábado","Comida",2
27.2,4,"Hombre","No","Jueves","Desayuno",4
22.76,3,"Hombre","No","Jueves","Desayuno",2
17.29,2.71,"Hombre","No","Jueves","Desayuno",2
19.44,3,"Hombre","Yes","Jueves","Desayuno",2
16.66,3.4,"Hombre","No","Jueves","Desayuno",2
10.07,1.83,"Mujer","No","Jueves","Desayuno",1
32.68,5,"Hombre","Yes","Jueves","Desayuno",2
15.98,2.03,"Hombre","No","Jueves","Desayuno",2
34.83,5.17,"Mujer","No","Jueves","Desayuno",4
13.03,2,"Hombre","No","Jueves","Desayuno",2
18.28,4,"Hombre","No","Jueves","Desayuno",2
24.71,5.85,"Hombre","No","Jueves","Desayuno",2
21.16,3,"Hombre","No","Jueves","Desayuno",2
28.97,3,"Hombre","Yes","Viernes","Comida",2
22.49,3.5,"Hombre","No","Viernes","Comida",2
5.75,1,"Mujer","Yes","Viernes","Comida",2
16.32,4.3,"Mujer","Yes","Viernes","Comida",2
22.75,3.25,"Mujer","No","Viernes","Comida",2
40.17,4.73,"Hombre","Yes","Viernes","Comida",4
27.28,4,"Hombre","Yes","Viernes","Comida",2
12.03,1.5,"Hombre","Yes","Viernes","Comida",2
21.01,3,"Hombre","Yes","Viernes","Comida",2
12.46,1.5,"Hombre","No","Viernes","Comida",2
11.35,2.5,"Mujer","Yes","Viernes","Comida",2
15.38,3,"Mujer","Yes","Viernes","Comida",2
44.3,2.5,"Mujer","Yes","Sábado","Comida",3
22.42,3.48,"Mujer","Yes","Sábado","Comida",2
20.92,4.08,"Mujer","No","Sábado","Comida",2
15.36,1.64,"Hombre","Yes","Sábado","Comida",2
20.49,4.06,"Hombre","Yes","Sábado","Comida",2
25.21,4.29,"Hombre","Yes","Sábado","Comida",2
18.24,3.76,"Hombre","No","Sábado","Comida",2
14.31,4,"Mujer","Yes","Sábado","Comida",2
14,3,"Hombre","No","Sábado","Comida",2
7.25,1,"Mujer","No","Sábado","Comida",1
38.07,4,"Hombre","No","Domingo","Comida",3
23.95,2.55,"Hombre","No","Domingo","Comida",2
25.71,4,"Mujer","No","Domingo","Comida",3
17.31,3.5,"Mujer","No","Domingo","Comida",2
29.93,5.07,"Hombre","No","Domingo","Comida",4
10.65,1.5,"Mujer","No","Jueves","Desayuno",2
12.43,1.8,"Mujer","No","Jueves","Desayuno",2
24.08,2.92,"Mujer","No","Jueves","Desayuno",4
11.69,2.31,"Hombre","No","Jueves","Desayuno",2
13.42,1.68,"Mujer","No","Jueves","Desayuno",2
14.26,2.5,"Hombre","No","Jueves","Desayuno",2
15.95,2,"Hombre","No","Jueves","Desayuno",2
12.48,2.52,"Mujer","No","Jueves","Desayuno",2
29.8,4.2,"Mujer","No","Jueves","Desayuno",6
8.52,1.48,"Hombre","No","Jueves","Desayuno",2
14.52,2,"Mujer","No","Jueves","Desayuno",2
11.38,2,"Mujer","No","Jueves","Desayuno",2
22.82,2.18,"Hombre","No","Jueves","Desayuno",3
19.08,1.5,"Hombre","No","Jueves","Desayuno",2
20.27,2.83,"Mujer","No","Jueves","Desayuno",2
11.17,1.5,"Mujer","No","Jueves","Desayuno",2
12.26,2,"Mujer","No","Jueves","Desayuno",2
18.26,3.25,"Mujer","No","Jueves","Desayuno",2
8.51,1.25,"Mujer","No","Jueves","Desayuno",2
10.33,2,"Mujer","No","Jueves","Desayuno",2
14.15,2,"Mujer","No","Jueves","Desayuno",2
16,2,"Hombre","Yes","Jueves","Desayuno",2
13.16,2.75,"Mujer","No","Jueves","Desayuno",2
17.47,3.5,"Mujer","No","Jueves","Desayuno",2
34.3,6.7,"Hombre","No","Jueves","Desayuno",6
41.19,5,"Hombre","No","Jueves","Desayuno",5
27.05,5,"Mujer","No","Jueves","Desayuno",6
16.43,2.3,"Mujer","No","Jueves","Desayuno",2
8.35,1.5,"Mujer","No","Jueves","Desayuno",2
18.64,1.36,"Mujer","No","Jueves","Desayuno",3
11.87,1.63,"Mujer","No","Jueves","Desayuno",2
9.78,1.73,"Hombre","No","Jueves","Desayuno",2
7.51,2,"Hombre","No","Jueves","Desayuno",2
14.07,2.5,"Hombre","No","Domingo","Comida",2
13.13,2,"Hombre","No","Domingo","Comida",2
17.26,2.74,"Hombre","No","Domingo","Comida",3
24.55,2,"Hombre","No","Domingo","Comida",4
19.77,2,"Hombre","No","Domingo","Comida",4
29.85,5.14,"Mujer","No","Domingo","Comida",5
48.17,5,"Hombre","No","Domingo","Comida",6
25,3.75,"Mujer","No","Domingo","Comida",4
13.39,2.61,"Mujer","No","Domingo","Comida",2
16.49,2,"Hombre","No","Domingo","Comida",4
21.5,3.5,"Hombre","No","Domingo","Comida",4
12.66,2.5,"Hombre","No","Domingo","Comida",2
16.21,2,"Mujer","No","Domingo","Comida",3
13.81,2,"Hombre","No","Domingo","Comida",2
17.51,3,"Mujer","Yes","Domingo","Comida",2
24.52,3.48,"Hombre","No","Domingo","Comida",3
20.76,2.24,"Hombre","No","Domingo","Comida",2
31.71,4.5,"Hombre","No","Domingo","Comida",4
10.59,1.61,"Mujer","Yes","Sábado","Comida",2
10.63,2,"Mujer","Yes","Sábado","Comida",2
50.81,10,"Hombre","Yes","Sábado","Comida",3
15.81,3.16,"Hombre","Yes","Sábado","Comida",2
7.25,5.15,"Hombre","Yes","Domingo","Comida",2
31.85,3.18,"Hombre","Yes","Domingo","Comida",2
16.82,4,"Hombre","Yes","Domingo","Comida",2
32.9,3.11,"Hombre","Yes","Domingo","Comida",2
17.89,2,"Hombre","Yes","Domingo","Comida",2
14.48,2,"Hombre","Yes","Domingo","Comida",2
9.6,4,"Mujer","Yes","Domingo","Comida",2
34.63,3.55,"Hombre","Yes","Domingo","Comida",2
34.65,3.68,"Hombre","Yes","Domingo","Comida",4
23.33,5.65,"Hombre","Yes","Domingo","Comida",2
45.35,3.5,"Hombre","Yes","Domingo","Comida",3
23.17,6.5,"Hombre","Yes","Domingo","Comida",4
40.55,3,"Hombre","Yes","Domingo","Comida",2
20.69,5,"Hombre","No","Domingo","Comida",5
20.9,3.5,"Mujer","Yes","Domingo","Comida",3
30.46,2,"Hombre","Yes","Domingo","Comida",5
18.15,3.5,"Mujer","Yes","Domingo","Comida",3
23.1,4,"Hombre","Yes","Domingo","Comida",3
15.69,1.5,"Hombre","Yes","Domingo","Comida",2
19.81,4.19,"Mujer","Yes","Jueves","Desayuno",2
28.44,2.56,"Hombre","Yes","Jueves","Desayuno",2
15.48,2.02,"Hombre","Yes","Jueves","Desayuno",2
16.58,4,"Hombre","Yes","Jueves","Desayuno",2
7.56,1.44,"Hombre","No","Jueves","Desayuno",2
10.34,2,"Hombre","Yes","Jueves","Desayuno",2
43.11,5,"Mujer","Yes","Jueves","Desayuno",4
13,2,"Mujer","Yes","Jueves","Desayuno",2
13.51,2,"Hombre","Yes","Jueves","Desayuno",2
18.71,4,"Hombre","Yes","Jueves","Desayuno",3
12.74,2.01,"Mujer","Yes","Jueves","Desayuno",2
13,2,"Mujer","Yes","Jueves","Desayuno",2
16.4,2.5,"Mujer","Yes","Jueves","Desayuno",2
20.53,4,"Hombre","Yes","Jueves","Desayuno",4
16.47,3.23,"Mujer","Yes","Jueves","Desayuno",3
26.59,3.41,"Hombre","Yes","Sábado","Comida",3
38.73,3,"Hombre","Yes","Sábado","Comida",4
24.27,2.03,"Hombre","Yes","Sábado","Comida",2
12.76,2.23,"Mujer","Yes","Sábado","Comida",2
30.06,2,"Hombre","Yes","Sábado","Comida",3
25.89,5.16,"Hombre","Yes","Sábado","Comida",4
48.33,9,"Hombre","No","Sábado","Comida",4
13.27,2.5,"Mujer","Yes","Sábado","Comida",2
28.17,6.5,"Mujer","Yes","Sábado","Comida",3
12.9,1.1,"Mujer","Yes","Sábado","Comida",2
28.15,3,"Hombre","Yes","Sábado","Comida",5
11.59,1.5,"Hombre","Yes","Sábado","Comida",2
7.74,1.44,"Hombre","Yes","Sábado","Comida",2
30.14,3.09,"Mujer","Yes","Sábado","Comida",4
12.16,2.2,"Hombre","Yes","Viernes","Desayuno",2
13.42,3.48,"Mujer","Yes","Viernes","Desayuno",2
8.58,1.92,"Hombre","Yes","Viernes","Desayuno",1
15.98,3,"Mujer","No","Viernes","Desayuno",3
13.42,1.58,"Hombre","Yes","Viernes","Desayuno",2
16.27,2.5,"Mujer","Yes","Viernes","Desayuno",2
10.09,2,"Mujer","Yes","Viernes","Desayuno",2
20.45,3,"Hombre","No","Sábado","Comida",4
13.28,2.72,"Hombre","No","Sábado","Comida",2
22.12,2.88,"Mujer","Yes","Sábado","Comida",2
24.01,2,"Hombre","Yes","Sábado","Comida",4
15.69,3,"Hombre","Yes","Sábado","Comida",3
11.61,3.39,"Hombre","No","Sábado","Comida",2
10.77,1.47,"Hombre","No","Sábado","Comida",2
15.53,3,"Hombre","Yes","Sábado","Comida",2
10.07,1.25,"Hombre","No","Sábado","Comida",2
12.6,1,"Hombre","Yes","Sábado","Comida",2
32.83,1.17,"Hombre","Yes","Sábado","Comida",2
35.83,4.67,"Mujer","No","Sábado","Comida",3
29.03,5.92,"Hombre","No","Sábado","Comida",3
27.18,2,"Mujer","Yes","Sábado","Comida",2
22.67,2,"Hombre","Yes","Sábado","Comida",2
17.82,1.75,"Hombre","No","Sábado","Comida",2
18.78,3,"Mujer","No","Jueves","Comida",2

