número de artículos,precio,sexo,día
21, 61.81,Mujer,sábado
16, 38.52,Hombre,miércoles
18, 38.52,Mujer,sábado
10,  4.81,Mujer,lunes
21, 47.44,Hombre,sábado
19, 31.40,Mujer,sábado
17, 27.62,Mujer,jueves
22, 55.10,Hombre,sábado
24, 36.02,Mujer,sábado
20, 46.04,Hombre,jueves
18, 32.88,Hombre,jueves
13, 15.15,Mujer,viernes
24, 19.16,Mujer,sábado
22, 40.57,Mujer,viernes
10, 29.64,Mujer,lunes
26, 29.16,Mujer,miércoles
18, 33.29,Hombre,sábado
15, 30.32,Hombre,miércoles
22, 42.88,Hombre,miércoles
22, 40.27,Mujer,sábado
19, 37.25,Mujer,domingo
18, 37.58,Mujer,jueves
28, 68.15,Hombre,jueves
20, 43.50,Mujer,sábado
17, 11.71,Hombre,sábado
19, 33.81,Hombre,domingo
27, 45.44,Mujer,jueves
18, 38.92,Hombre,domingo
17, 26.55,Mujer,sábado
21, 71.45,Mujer,sábado
29, 28.96,Mujer,sábado
23, 40.43,Mujer,miércoles
23, 48.40,Hombre,martes
17, 24.90,Hombre,miércoles
26, 76.52,Hombre,domingo
15, 16.37,Mujer,sábado
23, 52.85,Mujer,miércoles
28, 39.61,Mujer,sábado
18, 15.62,Hombre,sábado
12, 17.00,Mujer,domingo
28, 24.05,Mujer,lunes
20, 43.35,Hombre,lunes
12, 23.39,Mujer,sábado
22, 38.33,Mujer,sábado
18, 43.42,Mujer,domingo
12, 20.93,Hombre,sábado
19, 23.43,Hombre,sábado
29, 58.41,Hombre,sábado
21, 31.66,Mujer,sábado
12, 15.79,Hombre,sábado
17, 46.69,Hombre,jueves
16, 42.72,Hombre,jueves
16, 30.89,Mujer,sábado
16, 24.19,Hombre,viernes
23, 33.68,Hombre,sábado
23, 57.92,Mujer,sábado
29, 65.08,Mujer,sábado
15, 32.85,Mujer,sábado
21, 59.76,Mujer,jueves
19, 67.37,Hombre,jueves
18, 37.32,Hombre,jueves
26, 50.16,Hombre,miércoles
23, 63.52,Mujer,sábado
19, 48.33,Hombre,lunes
15, 41.38,Hombre,domingo
23, 37.32,Hombre,sábado
16, 41.17,Hombre,sábado
25, 52.98,Hombre,sábado
13, 20.44,Hombre,lunes
19, 32.48,Hombre,sábado
21, 44.46,Hombre,sábado
15, 24.44,Mujer,sábado
22, 61.88,Hombre,jueves
26, 54.27,Hombre,sábado
22, 27.43,Hombre,sábado
22, 40.92,Mujer,sábado
30, 40.43,Hombre,sábado
25, 51.31,Mujer,sábado
27, 50.18,Mujer,sábado
24, 51.29,Mujer,lunes
25, 63.74,Hombre,viernes
28, 44.67,Mujer,sábado
22, 31.74,Mujer,jueves
27, 50.51,Hombre,lunes
14, 27.97,Hombre,domingo
17, 34.71,Mujer,sábado
31, 70.45,Hombre,sábado
23, 22.77,Mujer,sábado
15, 30.16,Hombre,domingo
17, 20.25,Mujer,jueves
27, 48.87,Hombre,miércoles
16, 26.75,Hombre,domingo
26, 26.23,Hombre,domingo
22, 45.88,Hombre,domingo
24, 36.30,Mujer,jueves
28, 79.74,Mujer,jueves
30, 58.64,Hombre,jueves
17, 26.01,Hombre,sábado
15, 45.94,Mujer,jueves
16, 23.67,Mujer,miércoles
10, 17.88,Hombre,sábado
22, 58.79,Hombre,sábado
17, 41.58,Mujer,sábado
18, 40.66,Mujer,lunes
9, 15.97,Mujer,domingo
22, 70.17,Mujer,sábado
23, 19.14,Hombre,miércoles
15, 30.81,Hombre,sábado
20, 40.23,Mujer,sábado
34, 58.19,Hombre,sábado
23, 33.74,Hombre,jueves
21, 62.06,Hombre,miércoles
12, 22.88,Mujer,sábado
22, 44.47,Hombre,jueves
16, 28.57,Hombre,jueves
24, 40.14,Mujer,jueves
11, 19.80,Hombre,sábado
29, 42.96,Mujer,martes
21, 39.47,Mujer,lunes
25, 71.58,Hombre,jueves
20, 44.36,Hombre,domingo
16, 38.50,Mujer,miércoles
24, 46.97,Mujer,jueves
13, 22.48,Hombre,viernes
25, 64.19,Mujer,sábado
20, 41.83,Hombre,sábado
22, 56.56,Hombre,martes
20, 23.94,Mujer,martes
21, 34.79,Mujer,sábado
18, 40.53,Mujer,sábado
22, 53.37,Hombre,sábado
14, 35.73,Hombre,jueves
23, 33.75,Mujer,sábado
16, 27.35,Hombre,sábado
10, 18.84,Hombre,miércoles
27, 69.01,Hombre,domingo
19, 26.26,Hombre,domingo
5,  5.69,Hombre,martes
15,  9.21,Mujer,sábado
28, 46.02,Mujer,jueves
23, 56.61,Hombre,miércoles
25, 52.38,Mujer,jueves
17, 31.48,Hombre,domingo
23, 27.31,Hombre,sábado
16, 33.71,Hombre,jueves
26, 52.27,Mujer,sábado
30, 75.65,Mujer,jueves
16, 39.46,Mujer,jueves
20, 32.42,Hombre,jueves
25, 53.50,Hombre,lunes
28, 66.10,Hombre,sábado
28, 52.53,Mujer,sábado
20, 32.47,Mujer,jueves
22, 43.11,Hombre,jueves
18, 38.20,Hombre,viernes
21, 34.35,Hombre,sábado
21, 43.45,Hombre,jueves
28, 29.01,Hombre,sábado
18, 39.56,Hombre,domingo
17, 37.07,Hombre,jueves
18, 24.58,Hombre,jueves
21, 43.74,Hombre,jueves
20, 60.96,Hombre,sábado
19, 31.66,Mujer,sábado
16, 27.92,Hombre,viernes
32, 96.96,Mujer,lunes
26, 56.04,Hombre,sábado
22, 53.77,Mujer,jueves
22, 44.17,Mujer,jueves
20, 35.18,Mujer,sábado
21, 37.51,Mujer,domingo
32, 98.07,Mujer,sábado
16, 46.83,Mujer,sábado
23, 49.70,Mujer,sábado
14, 23.04,Mujer,sábado
15, 36.57,Hombre,sábado
16, 46.50,Hombre,jueves
29, 51.63,Hombre,sábado
13, 36.56,Mujer,sábado
24, 41.16,Mujer,sábado
25, 47.62,Hombre,jueves
18, 48.14,Mujer,jueves
23, 44.17,Hombre,miércoles
18, 52.54,Mujer,lunes
17, 35.53,Hombre,jueves
15, 31.56,Mujer,sábado
37, 63.54,Hombre,sábado
13, 26.64,Mujer,sábado
20, 48.48,Mujer,jueves
13, 33.50,Hombre,miércoles
18, 34.23,Hombre,jueves
19, 39.60,Mujer,sábado
26, 73.34,Hombre,sábado
17, 35.89,Mujer,sábado
21, 28.08,Hombre,miércoles
24, 30.68,Hombre,martes
19, 23.58,Hombre,sábado
21, 31.45,Hombre,viernes
21, 44.83,Hombre,sábado
25, 59.40,Mujer,sábado
27, 41.42,Mujer,domingo
19, 56.36,Hombre,viernes
16, 36.67,Mujer,sábado
23, 67.99,Hombre,sábado
20, 23.61,Hombre,sábado
30, 82.29,Mujer,sábado
19, 29.75,Mujer,sábado
22, 40.97,Hombre,sábado
19, 27.61,Mujer,domingo
21, 40.59,Mujer,jueves
17, 30.36,Hombre,miércoles
19, 25.05,Hombre,jueves
25, 50.32,Mujer,sábado
26, 42.25,Hombre,sábado
25, 49.93,Hombre,miércoles
16, 31.83,Mujer,sábado
21, 53.49,Hombre,sábado
19, 31.61,Mujer,lunes
17, 38.08,Mujer,sábado
18, 26.93,Hombre,sábado
28, 46.75,Hombre,sábado
15, 34.45,Mujer,domingo
18, 38.13,Mujer,miércoles
22, 36.54,Hombre,sábado
9, 18.82,Mujer,miércoles
17, 34.66,Hombre,jueves
22, 46.13,Mujer,sábado
25, 45.54,Hombre,jueves
12, 23.76,Mujer,jueves
16, 18.90,Hombre,domingo
23, 54.01,Mujer,miércoles
23, 47.38,Mujer,jueves
20, 48.73,Mujer,jueves
20, 59.22,Mujer,sábado
22, 50.76,Mujer,miércoles
22, 64.73,Hombre,jueves
22, 57.87,Mujer,jueves
20, 44.77,Mujer,miércoles
23, 44.73,Hombre,jueves
17, 35.92,Mujer,sábado
17, 29.02,Mujer,sábado
24, 47.07,Mujer,jueves
21, 34.44,Hombre,sábado
21, 46.40,Mujer,martes
16, 43.76,Hombre,miércoles
24, 52.34,Mujer,sábado
22, 52.00,Mujer,sábado
16, 32.26,Hombre,lunes
26, 15.08,Mujer,lunes
19, 52.00,Hombre,domingo
20, 57.07,Hombre,sábado
26, 57.11,Mujer,sábado
24, 30.12,Hombre,jueves
22, 32.07,Hombre,sábado
16, 29.62,Mujer,sábado
16, 33.47,Hombre,miércoles
27, 34.08,Hombre,sábado
30, 75.94,Mujer,domingo
17, 28.45,Hombre,sábado
26, 52.21,Hombre,jueves
24, 37.31,Hombre,jueves
17, 43.56,Hombre,sábado
22, 49.27,Hombre,sábado
15, 38.53,Hombre,sábado
27, 34.23,Hombre,domingo
20, 45.43,Hombre,jueves
19, 47.21,Hombre,viernes
19, 40.70,Hombre,sábado
22, 43.98,Mujer,miércoles
22, 38.83,Mujer,domingo
13, 25.21,Hombre,domingo
19, 24.62,Hombre,viernes
22, 39.05,Mujer,miércoles
23, 57.03,Mujer,sábado
21, 39.12,Hombre,sábado
16, 40.76,Hombre,jueves
11, 15.82,Hombre,miércoles
13, 22.66,Mujer,miércoles
13, 42.71,Hombre,domingo
23, 68.60,Hombre,sábado
30, 76.34,Hombre,sábado
23, 41.02,Mujer,jueves
14, 28.10,Mujer,jueves
19, 36.30,Hombre,jueves
13, 33.59,Hombre,lunes
14, 26.22,Hombre,jueves
17, 31.74,Hombre,jueves
19, 28.02,Mujer,sábado
19, 28.19,Hombre,sábado
21, 58.59,Mujer,miércoles
16, 29.48,Hombre,miércoles
15, 32.94,Mujer,sábado
22, 39.44,Mujer,miércoles
23, 37.29,Hombre,miércoles
18, 42.85,Mujer,miércoles
15, 38.60,Hombre,sábado
25, 41.76,Hombre,jueves
14, 21.40,Hombre,domingo
16, 29.60,Hombre,domingo
14, 25.29,Mujer,sábado
15, 34.32,Hombre,miércoles
18, 35.41,Hombre,sábado
18, 40.73,Hombre,sábado
22, 41.40,Mujer,jueves
17, 27.57,Hombre,viernes
16, 37.62,Hombre,jueves
21, 52.90,Mujer,jueves
16, 28.00,Mujer,sábado
16, 44.62,Hombre,domingo
11, 11.25,Hombre,sábado
28, 48.15,Hombre,sábado
18, 46.67,Hombre,jueves
22, 50.15,Hombre,jueves
17, 33.76,Mujer,sábado
19, 47.43,Hombre,jueves
28, 60.38,Mujer,sábado
27, 44.09,Hombre,sábado
10, 11.87,Hombre,martes
20, 51.22,Mujer,sábado
31, 74.80,Mujer,sábado
16, 44.41,Hombre,viernes
20, 33.49,Mujer,jueves
27, 50.91,Mujer,sábado
23, 34.10,Mujer,sábado
24, 58.25,Hombre,sábado
29, 69.95,Hombre,jueves
21, 38.76,Mujer,miércoles
31, 85.18,Mujer,lunes
23, 41.16,Hombre,sábado
18, 39.02,Hombre,lunes
29, 52.79,Hombre,sábado
22, 58.01,Mujer,sábado
24, 27.49,Mujer,jueves
28, 61.15,Mujer,miércoles
20, 45.05,Mujer,sábado
18, 35.18,Mujer,martes
30, 71.49,Hombre,jueves
26, 69.14,Mujer,miércoles
14, 45.13,Mujer,jueves
35, 63.16,Hombre,miércoles
19, 30.51,Hombre,domingo
22, 35.88,Mujer,miércoles
20, 39.84,Hombre,miércoles
23, 61.92,Mujer,domingo
31, 62.45,Mujer,miércoles
25, 54.49,Hombre,jueves
24, 79.94,Mujer,jueves
16, 27.11,Mujer,miércoles
19, 38.23,Hombre,sábado
12, 16.13,Hombre,domingo
30, 57.39,Mujer,jueves
26, 50.31,Hombre,sábado
30, 81.47,Hombre,sábado
19, 44.19,Hombre,lunes
21, 47.31,Mujer,sábado
21, 45.17,Hombre,jueves
26, 57.12,Hombre,sábado
22, 45.09,Hombre,martes
16, 34.28,Hombre,sábado
19, 39.58,Mujer,miércoles
22, 58.05,Hombre,jueves
20, 32.81,Mujer,miércoles
22, 46.20,Hombre,miércoles
23, 57.76,Hombre,domingo
21, 43.62,Hombre,miércoles
23, 45.99,Hombre,jueves
21, 54.57,Hombre,jueves
21, 41.16,Mujer,jueves
22, 30.67,Hombre,miércoles
22, 33.69,Mujer,domingo
18, 43.94,Mujer,jueves
25, 76.62,Hombre,miércoles
20, 32.43,Hombre,sábado
28, 32.09,Hombre,domingo
30, 45.06,Hombre,sábado
25, 57.23,Hombre,sábado
19, 23.37,Hombre,sábado
19, 31.76,Hombre,sábado
23, 36.05,Mujer,jueves
24, 30.73,Hombre,jueves
22, 51.86,Mujer,sábado
18, 39.92,Mujer,sábado
22, 44.21,Hombre,jueves
16, 30.30,Hombre,jueves
20, 50.68,Hombre,miércoles
20, 61.64,Mujer,miércoles
26, 37.81,Mujer,sábado
22, 38.02,Mujer,miércoles
20, 55.00,Hombre,sábado
13, 18.49,Mujer,sábado
17, 30.68,Hombre,sábado
21, 50.67,Mujer,domingo
24, 26.11,Mujer,sábado
20, 39.26,Hombre,domingo
22, 30.63,Mujer,miércoles
26, 34.73,Hombre,domingo
25, 47.08,Hombre,miércoles
21, 56.99,Hombre,jueves
13, 32.06,Hombre,miércoles
21, 43.77,Mujer,sábado
9, 12.10,Mujer,sábado
23, 53.88,Mujer,domingo
16, 41.62,Mujer,lunes
27, 65.62,Hombre,sábado
32, 29.72,Mujer,sábado
31, 99.91,Mujer,sábado
14, 24.80,Hombre,domingo
29, 48.69,Mujer,sábado
22, 14.66,Hombre,jueves
17, 38.64,Hombre,sábado
27, 56.31,Mujer,sábado
20, 20.97,Mujer,sábado
19, 33.29,Hombre,sábado
21, 45.00,Mujer,martes
24, 44.28,Hombre,domingo
20, 44.03,Hombre,jueves
17, 30.47,Mujer,lunes
17, 49.82,Mujer,miércoles
32, 54.74,Hombre,jueves
22, 48.53,Hombre,jueves
26, 63.64,Hombre,sábado
9, 16.34,Mujer,sábado
25, 51.13,Hombre,jueves
6, 11.51,Mujer,jueves
23, 50.23,Hombre,sábado
22, 51.84,Hombre,domingo
32, 40.33,Hombre,sábado
22, 58.56,Hombre,jueves
23, 30.75,Mujer,domingo
25, 56.88,Hombre,lunes
26, 55.30,Hombre,lunes
15, 27.38,Mujer,domingo
24, 58.34,Mujer,domingo
23, 41.89,Mujer,sábado
24, 47.83,Mujer,jueves
21, 38.81,Mujer,jueves
18, 19.91,Mujer,sábado
22, 33.70,Mujer,jueves
31, 37.16,Hombre,sábado
20, 33.91,Mujer,jueves
18, 52.70,Mujer,sábado
20, 32.27,Mujer,sábado
18, 35.79,Hombre,sábado
19, 48.53,Hombre,miércoles
23, 52.84,Mujer,domingo
19, 30.11,Hombre,lunes
12, 24.69,Hombre,sábado
13, 16.82,Hombre,domingo
17, 37.44,Mujer,sábado
25, 55.61,Mujer,jueves
21, 44.83,Mujer,domingo
27, 61.00,Mujer,jueves
17, 33.59,Hombre,sábado
24, 59.55,Hombre,lunes
28, 81.43,Mujer,domingo
25, 61.42,Hombre,jueves
21, 70.29,Hombre,sábado
31, 25.02,Hombre,sábado
15, 33.86,Mujer,sábado
22, 63.07,Hombre,martes
23, 51.88,Hombre,sábado
19, 27.86,Hombre,sábado
19, 39.05,Hombre,jueves
23, 48.33,Mujer,jueves
15, 23.56,Mujer,jueves
25, 62.62,Hombre,domingo
15, 28.70,Hombre,domingo
19, 24.59,Mujer,jueves
28, 34.66,Mujer,miércoles
14, 29.03,Hombre,sábado
17, 49.89,Hombre,miércoles
18, 32.69,Hombre,sábado
25, 60.21,Mujer,sábado
13, 11.27,Mujer,sábado
26, 51.68,Mujer,sábado
18, 39.20,Mujer,domingo
22, 25.59,Mujer,jueves
18, 38.63,Hombre,sábado
21, 39.45,Mujer,jueves
22, 53.10,Mujer,jueves
16, 24.37,Mujer,sábado
24, 61.07,Mujer,miércoles
19, 35.28,Mujer,sábado
22, 53.86,Mujer,viernes
25, 54.83,Hombre,miércoles
23, 42.21,Hombre,jueves
21, 26.76,Hombre,lunes
20, 43.57,Hombre,miércoles
27, 45.81,Mujer,jueves
27, 66.68,Hombre,jueves
17, 24.81,Hombre,miércoles
26, 57.47,Hombre,sábado
21, 57.82,Mujer,domingo
14, 13.05,Hombre,jueves
25, 58.91,Hombre,lunes
18, 42.60,Mujer,jueves
26, 55.88,Mujer,martes
29, 51.22,Mujer,miércoles
18, 35.44,Hombre,miércoles
11, 16.47,Mujer,jueves
26, 64.18,Mujer,miércoles
11, 20.27,Mujer,sábado
